"root","course","file","status"
"archived-courses","dsa-placement","D:\app2\app\archived-courses\dsa-placement\wiki\string-hashing.md","CAPTION_ONLY"
"archived-courses","dsa-placement","D:\app2\app\archived-courses\dsa-placement\wiki\strongly-connected-components-placement.md","CAPTION_ONLY"
"archived-courses","dsa-placement","D:\app2\app\archived-courses\dsa-placement\wiki\topological-sort.md","CAPTION_ONLY"
"archived-courses","dsa-placement","D:\app2\app\archived-courses\dsa-placement\wiki\tree-dp.md","CAPTION_ONLY"
"archived-courses","dsa-placement","D:\app2\app\archived-courses\dsa-placement\wiki\tries.md","MISSING_SECTION"
"archived-courses","dsa-placement","D:\app2\app\archived-courses\dsa-placement\wiki\two-pointers-sliding-window.md","MISSING_SECTION"
"archived-courses","dsa-placement","D:\app2\app\archived-courses\dsa-placement\wiki\union-find.md","CAPTION_ONLY"
"archived-courses","machine-learning","D:\app2\app\archived-courses\machine-learning\wiki\bayesian-linear-regression.md","CAPTION_ONLY"
"archived-courses","machine-learning","D:\app2\app\archived-courses\machine-learning\wiki\bias-variance-tradeoff.md","CAPTION_ONLY"
"archived-courses","machine-learning","D:\app2\app\archived-courses\machine-learning\wiki\coding-lab-sklearn.md","CAPTION_ONLY"
"archived-courses","machine-learning","D:\app2\app\archived-courses\machine-learning\wiki\convolutional-neural-networks.md","CAPTION_ONLY"
"archived-courses","machine-learning","D:\app2\app\archived-courses\machine-learning\wiki\cross-validation-techniques.md","CAPTION_ONLY"
"archived-courses","machine-learning","D:\app2\app\archived-courses\machine-learning\wiki\decision-trees.md","CAPTION_ONLY"
